"21142","Аардоникс","2361954","","8596","20220624184621"
"21143","Абботины","924600","","4333","20220524050114"
"21144","Абелизавриды","2699683","","23781","20220610192623"
"21145","Абингдонская_слоновая_черепаха","8570052","","4935","20220422195532"
"21146","Абиссинская_сизоворонка","8179195","","2840","20220626150018"
"21147","Абиссинский_заяц","5217460","","2161","20220322092502"
"21148","Абиссинский_рогатый_ворон","8657789","","11476","20220624125847"
"21149","Абиссобротула","7250243","","3651","20200805153257"
"21150","Абия_прибайкальская","3473507","","4553","20220317100512"
"21151","Абрауская_тюлька","1804391","","4385","20220524142645"
"21152","Абрикосовая_ципрея","2377476","","2940","20200618145824"
"21153","Абронии","3692302","","2766","20200630120642"
"21154","Абудефдуфы","7880531","","7314","20210201131540"
"21155","Авацератопс","2391200","","4657","20210210084402"
"21156","Авдотка","2188440","","8247","20220525002144"
"21157","Авдотки","1503997","","6843","20220525002156"
"21158","Авдотковые","2158933","","13202","20220706061332"
"21159","Авеметатарзалии","2513347","","20298","20220525005551"
"21160","Аверостры","6512214","","4403","20220626150025"
"21161","Авиалы","7261482","","22071","20220331132205"
"21162","Авиатираннис","7701955","","13640","20220108072045"
"21163","Авимимы","1894904","","5092","20220626165311"
"21164","Авлакоцефалодон","628182","","2840","20200221145516"
"21165","Авлациды","2643394","","9073","20220626150030"
"21166","Авроры","2146926","","4285","20210704142054"
"21167","Австралийская_авдотка","3975148","","6740","20220508164347"
"21168","Австралийская_болотная_крыса","6957973","","4142","20220525074651"
"21169","Австралийская_бычья_акула","4286020","","23533","20220525074705"
"21170","Австралийская_ворона","3174711","","11209","20220525074716"
"21171","Австралийская_выпь","7796652","","1801","20210826004209"
"21172","Австралийская_головастая_акула","3924885","","13645","20220524084138"
"21173","Австралийская_длиннорылая_акула","3846858","","11069","20220525074721"
"21174","Австралийская_ехидна","147036","","27555","20220623174807"
"21175","Австралийская_зелёная_черепаха","4677696","","3778","20211029145651"
"21176","Австралийская_змеешейка","7655834","","4177","20220113070026"
"21177","Австралийская_змеиношеяя_черепаха","4270626","","3791","20220223024202"
"21178","Австралийская_коралловая_кошачья_акула","3897483","","3817","20171207184206"
"21179","Австралийская_короткошипая_акула","4428331","","12123","20220626150035"
"21180","Австралийская_кунья_акула","4156365","","15959","20220329140948"
"21181","Австралийская_мангровая_змея","1270816","","2222","20220211191321"
"21182","Австралийская_минога","4968404","","2626","20180703181602"
"21183","Австралийская_нематалоза","8238429","","12066","20220525075053"
"21184","Австралийская_олуша","3188799","","5021","20220409150450"
"21185","Австралийская_пеганка","7493853","","3016","20211029145744"
"21186","Австралийская_пеламида","6284402","","7486","20220525075143"
